Термин;Определение
Режим холостого хода;— Движение пожарного ствола без подачи огнетушащего вещества. п. 3.24 ГОСТ Р 53326-2009 [48]
Резделка;— Утолщение стенки печи или дымового канала в месте соприкосновения с конструкцией здания, выполненной из горючего материала. п. 3.15 СП 7.13130.2013[9]
Резерв огнетушащего вещества;— Требуемое количество огнетушащего вещества, готовое к немедленному применению в случаях повторного воспламенения или невыполнения установкой пожаротушения своей задачи. п. 3.83 СП 5.13130.2009[7]
Резерв огнетушащего вещества;— Требуемое количество огнетушащего вещества, готовое к немедленному применению в случаях повторного воспламенения или невыполнения установкой пожаротушения своей задачи. п. 3.17 ГОСТ Р 50969-96 [33]
Резерв огнетушащих веществ;— Требуемое количество огнетушащего вещества, готовое к немедленному применению в случаях повторного воспламенения или невыполнения установкой пожаротушения своей задачи. ГОСТ 12.3.046-91 ССБТ [31]
Резервный пункт управления;— Часть блока АС, размещаемая в предусмотренном проектом помещении и предназначенная в случае отказа БПУ (БЩУ) для надежного перевода блока АС в подкритическое расхоложенное состояние и поддержания его сколь угодно долго в этом состоянии, приведения в действие систем безопасности и получения информации о состоянии реактора. п. 2.12 СП 13.13130.2009[15]
Резервуар;— Инженерное сооружение емкостного типа, предназначенное для хранения запаса воды. Резервуары, как правило, могут быть металлические, железобетонные. п. 3.10 СП 8.13130.2009[10]
Резервуар;— Емкость, как правило, цилиндрической или шарообразной формы, предназначенная для хранения жидкости. п. 2.10 ГОСТ Р 53324-2009 [72]
Резервуар изотермический пожарный;— Теплоизолированный сосуд, оборудованный запорно-пусковым устройством, холодильными агрегатами или реконденсатором, приборами управления и контроля, предназначенный для хранения сжиженных газовых огнетушащих веществ при температуре ниже температуры окружающей среды, а также для их подачи. п. 3.18 ГОСТ Р 50969-96 [33]
Резервуар СПГ в кожухе;— Полуизотермический резервуар (сосуд) для хранения СПГ, оснащенный термоизоляционным кожухом, предназначенным для обеспечения вакуумной изоляции и обеспечивающим при разгерметизации рабочего (внутреннего) сосуда истечение СПГ непосредственно в ограждение резервуара только через специально предназначенное для этого устройство, установленное на кожухе. п. 3.30 СП 156.13130.2014[21]
Резервуар СПГ в кожухе;— Полуизотермический резервуар (сосуд) для хранения СПГ, оснащенный термоизоляционным кожухом, предназначенным для обеспечения вакуумной изоляции и обеспечивающим при разгерметизации рабочего (внутреннего) сосуда истечение СПГ непосредственно в ограждение резервуара только через специально предназначенное для этого устройство, установленное на кожухе. п. 3.16 СП 326.1311500.2017 [30]
Резервуарный парк;— Группа (группы) резервуаров, предназначенных для хранения нефти и нефтепродуктов и размещенных на территории, ограниченной по периметру обвалованием или ограждающей стенкой при наземных резервуарах и дорогами или противопожарными проездами - при подземных (заглубленных в грунт или обсыпанных грунтом) резервуарах и резервуарах, установленных в котлованах или выемках. п. 3.38 СП 4.13130.2013[6]
Резервуарный парк;— Группа (группы) резервуаров, предназначенных для хранения нефти и нефтепродуктов и размещенных на территории, ограниченной по периметру обвалованием или ограждающей стенкой при наземных резервуарах и дорогами или противопожарными проездами - при подземных (заглубленных в грунт или обсыпанных грунтом) резервуарах, установленных в котлованах или выемках. п. 3.13 СП 155.13130.2014[20]
Реконденсатор;— Агрегат, предназначенный для поддержания заданного интервала температуры (давления) в резервуаре и компенсации теплопотерь в период хранения сжиженного газа. п. 3.6 ГОСТ Р 53282-2009 [40]
Реологическое свойство материалов;— Проявление необратимых остаточных деформаций и текучести или ползучести под влиянием нагрузки и (или) воздействия. ст. 2 п. 19 ГОСТ Р 12.2.143-2009 [2]
Ретранслятор;— Компонент системы передачи извещений о пожаре, устанавливаемый в промежуточном пункте между объектом и пунктом централизованного наблюдения, и служащий для приема информационных сигналов от приборов объектовых оконечных или других ретрансляторов, их усиления и/или преобразования, с последующей передачей на приборы пультовые оконечные или другие ретрансляторы, а также (при наличии обратного канала) для приема от приборов пультовых оконечных (ретрансляторов) и передачу на приборы объектовые оконечные (ретрансляторы) команд телеуправления управления (при наличии обратного канала). п. 3.53 ГОСТ Р 53325-2012 [50]
Рециркуляция воздуха;— Подмешивание воздуха помещения к наружному воздуху и подача этой смеси в данное или другие помещения (после очистки или тепловлажностной обработки). рециркуляцией не является перемешивание воздуха в пределах одного помещения, в том числе сопровождаемое нагреванием (охлаждением) отопительными агрегатами, вентиляторными и эжекционными доводчиками, вентиляторами-веерами и др. п. 3.30 СП 60.13330.2012[16]
Робот пожарный (РП);— Автоматическое устройство, манипулирующее пожарным стволом в сферической системе координат, на базе стационарного лафетного ствола с дистанционным управлением, с фиксированной или подвижной установкой, с устройством обнаружения загорания и устройством программного управления, предназначенное для тушения и локализации пожара. п. 3.3 ГОСТ Р 53326-2009 [48]
Роботизированная установка пожаротушения (РУП);— Стационарное автоматическое средство, смонтированное на неподвижном основании, состоящее из пожарного ствола, имеющего несколько степеней подвижности и оснащенного системой приводов, а также из устройства программного управления, и предназначенное для тушения и локализации пожара или охлаждения технологического оборудования и строительных конструкций. п. 3.84 СП 5.13130.2009[7]
Роботизированный пожарный комплекс (РПК);— Совокупность нескольких роботизированных установок пожаротушения, объединенных общей системой управления и обнаружения пожара. п. 3.85 СП 5.13130.2009[7]
Ручной пожарный извещатель;— Устройство, предназначенное для ручного включения сигнала пожарной тревоги в системах пожарной сигнализации и пожаротушения. п. 3.86 СП 5.13130.2009[7]
Ручной пуск (включение);— Пуск модуля (батареи) посредством воздействия руки оператора на пусковой элемент без задержки времени. п. 3.14 ГОСТ Р 53281-2009 [39]
Рядок распределительного трубопровода;— Совокупность двух ветвей распределительного трубопровода, расположенных по одной линии с двух сторон питающего трубопровода. п. 3.87 СП 5.13130.2009[7]
Самовозгорание;— Резкое увеличение скорости экзотермических процессов в веществе, приводящее к возникновению очага горения. п. 3.35 ГОСТ 12.1.044-2018 [79]
Самовоспламенение;— Резкое увеличение скорости экзотермических объемных реакций, сопровождающихся резким увеличением температуры вещества на 50°С и выше (по отношению к температуре окружающей атмосферы), и/или пламенным горением, и/или взрывом. п. 3.36 ГОСТ 12.1.044-2018 [79]
Самовоспламенение;— Самопроизвольное воспламенение. п. 47 ГОСТ 12.1.033-81 [87]
Самовспенивающаяся газоаэрозоленаполненная пена;— Комбинированное огнетушащее вещество, представляющее собой пену, пузырьки которой заполнены смесью газов (азот, углекислый газ), а на их поверхности сконденсированы частицы аэрозоля микронных размеров, состоящие из различных ингибиторов горения, образуется при десорбции газов при выходе смеси в атмосферу. п. 3.25 СП 155.13130.2014[20]
Самосрабатывающий огнетушитель;— Огнетушитель, срабатывающий при воздействии на него тепла очага пожара. п. 3.31 СП 156.13130.2014[21]
Самостоятельный участок технологической системы многотопливной АЗС;— Комплекс оборудования, спроектированный и изготовленный как часть единой технологической системы многотопливной АЗС и предназначенный для приема, хранения и выдачи одного из видов моторного топлива. п. 3.32 СП 156.13130.2014[21]
Сборный воздуховод;— Участок воздуховода, к которому присоединяются воздуховоды, проложенные на одном этаже. п. 3.31 СП 60.13330.2012[16]
Сбросная труба;— Устройство, предназначенное для пожаробезопасного сброса природного газа, паров СПГ или паров СУГ в атмосферу без сжигания. п. 3.33 СП 156.13130.2014[21]
Световая сигнализация;— Техническое средство (элемент), имеющее источник светового излучения, воспринимаемый глазом в любое время суток. п. 3.95 СП 5.13130.2009[7]
Светопразрачное заполнение проема;— Конструкция (дверь) со светопропускающими элементами, служащая для заполнения проемов в стенах, перегородках, покрытиях, перекрытиях. п. 3.2 ГОСТ Р 53308-2009 [70]
Светопрозрачная ограждающая конструкция;— Конструкция (стена, перегородка и т.д.) со светопропускающими элементами, предназначенная для ограждения или разделения объемов (помещений) здания. п. 3.1 ГОСТ Р 53308-2009 [70]
Светопропускающий элемент;— Элемент конструкции, обеспечивающий естественное освещение объема или помещения и имеющий коэффициент светопропускания больше нуля при нормальных условиях эксплуатации. п. 3.3 ГОСТ Р 53308-2009 [70]
Светопропускающий элемент (остекление);— Элемент конструкции, имеющий коэффициент светопропускания больше нуля при нормальных условиях эксплуатации. п. 3.11 ГОСТ Р 55896-2013 [74]
Свеча;— Устройство для выпуска (сброса) паров СПГ в атмосферу. п. 3.3 СП 240.1311500.2015 [25]
Свеча;— Устройство для выпуска газа в атмосферу. п. 3.17 СП 326.1311500.2017 [30]
Свободное пространство шахты резервуара или технологического колодца;— Воздушное пространство внутри шахты резервуара или технологического колодца. п. 3.34 СП 156.13130.2014[21]
Свободный дебит каста скважины;— Суммарный объем жидкости или газа, поступающих из всех скважин на территории куста скважин в единицу времени, при отключенных насосах. п. 3.8 СП 231.1311500.2015 [23]
Секция установки пожаротушения;— Составная часть установки пожаротушения, представляющая собой совокупность питающих и распределительных трубопроводов, узла управления и расположенных выше него технических средств, предназначенных для подачи в защищаемый объект огнетушащего вещества. п. 3.88 СП 5.13130.2009[7]
Семейство генераторов;— Модельный ряд модификаций генераторов с различной массой огнетушащего аэрозолеобразующего состава, имеющих одинаковые типы аэрозолеобразующего состава, охладителя и их зарядов, одинаковый тип выпускных отверстий, одинаковое устройство пуска, одинаковый набор элементов и одинаковую внутреннюю/внешнюю структуру. п. 3.5 ГОСТ Р 53284-2009 [42]
Сетевой контролер;— Устройство для организации обмена информацией и передачи управляющих команд по каналу связи в принятой системе интерфейса. п. 3.13 ГОСТ Р 53326-2009 [48]
Сеть инженерно-технического обеспечения;— Совокупность трубопроводов, коммуникаций и других сооружений, предназначенных для инженерно-технического обеспечения зданий и сооружений. ст. 2 п. 20 ГОСТ Р 12.2.143-2009 [2]
Сигнализатор давления;— Сигнальное устройство, предназначенное для приема командного гидравлического импульса, выдаваемого узлом управления, и преобразования его в логический командный импульс. п. 3.1.12 ГОСТ Р 51052-2002 [36]
Сигнализатор давления (СД);— Пожарный сигнализатор, предназначенный для приема командного гидравлического импульса, выдаваемого узлом управления, и преобразования его в логический командный импульс. п. 3.89 СП 5.13130.2009[7]
Сигнализатор потока жидкости;— Сигнальное устройство, предназначенное для преобразования определенного расхода жидкости в трубопроводе в логический командный импульс. п. 3.1.13 ГОСТ Р 51052-2002 [36]
Сигнализатор потока жидкости (СПЖ);— Пожарный сигнализатор, предназначенный для преобразования определенной величины расхода жидкости в трубопроводе в логический командный импульс. п. 3.90 СП 5.13130.2009[7]
Сигнальная разметка;— Цветографическое изображение с использованием сигнальных и контрастных цветов, нанесенное на поверхности, конструкции, стены, перила, оборудование, машины, механизмы (или их элементы), ленты, цепи, столбики, стойки, заградительные барьеры, щиты и т.п., в целях обозначения опасности, а также для указания и информации. п. 3.17 ГОСТ Р 12.2.143-2009 [88]
Сигнальный клапан;— Нормально закрытое запорное устройство, предназначенное для выдачи командного импульса и пуска огнетушащего вещества при срабатывании оросителя или пожарного извещателя. п. 3.91 СП 5.13130.2009[7]
Сигнальный клапан;— Нормально закрытое запорное устройство, предназначенное для пуска огнетушащего вещества при срабатывании оросителя или пожарного извещателя и выдачи командного импульса. п. 3.1.10 ГОСТ Р 51052-2002 [36]
Система аварийного отключения;— Комплекс технических средств, которые отключают технологическое оборудование при аварии. п. 3.19 СП 326.1311500.2017 [30]
Система автоматического водяного орошения;— Комплекс технических средств подачи воды и пожарной автоматики для осуществления орошения с целью охлаждения объекта защиты при пожаре в автоматическом режиме. п. 3.5 СП 240.1311500.2015 [25]
Система автоматического пенного пожаротушения;— Включает резервуары для воды и пенообразователя, насосную станцию, подводящие растворопроводы с пожарными гидрантами, узлы управления, а также установленные на резервуарах и в зданиях генераторы пены с питающими и распределительными трубопроводами для подачи раствора пенообразователя к этим генераторам, средства автоматизации. п. 3.14 СП 155.13130.2014[20]
Система инженерно-технического обеспечения;— Одна из систем здания или сооружения, предназначенная для выполнения функций водоснабжения, канализации, отопления, вентиляции, кондиционирования воздуха, газоснабжения, электроснабжения, связи, информатизации, диспетчеризации, мусороудаления, вертикального транспорта (лифты, эскалаторы) или функций обеспечения безопасности. ст. 2 п. 21 ГОСТ Р 12.2.143-2009 [2]
Система местных отсосов;— Система местной вытяжной вентиляции, к воздуховодам которой присоединяются местные отсосы. п. 3.33 СП 60.13330.2012[16]
Система объединённого контроля герметичности резервуара ;— Комплекс оборудования, предназначенного для периодического контроля герметичности внешней и постоянного контроля внутренней стенок двустенного (двухоболочечного) резервуара на месте эксплуатации. п. 3.35 СП 156.13130.2014[21]
Система оповещения и управления эвакуацией людей (СОУЭ);— Комплекс организационных мероприятий и технических средств, предназначенный для своевременного сообщения людям информации о возникновении пожара, необходимости эвакуироваться, путях и очередности эвакуации. п. 2.5 СП 3.13130.2009[5]
Система определения координат очага загорания в 3-мерной системе координат;— Система, включающая в себя устройство управления, два и более устройств обнаружения загорания в составе РП, установленных на расстоянии друг от друга, передающих информацию о загорании по каналу связи в устройство управления, которое по полученным данным и расчетным программам формирует информацию о координатах загорания в 3-мерной системе координат для формирования управляющих команд на наведение РП с учетом дальности очага загорания и дальности струй. п. 3.8 ГОСТ Р 53326-2009 [48]
Система передачи извещений о пожаре;— Компонент системы передачи извещений о пожаре, устанавливаемый в промежуточном пункте между объектом и пунктом централизованного наблюдения, и служащий для приема информационных сигналов от приборов объектовых оконечных или других ретрансляторов, их усиления и/или преобразования, с последующей передачей на приборы пультовые оконечные или другие ретрансляторы, а также (при наличии обратного канала) для приема от приборов пультовых оконечных (ретрансляторов) и передачу на приборы объектовые оконечные (ретрансляторы) команд телеуправления управления (при наличии обратного канала). п. 3.54 ГОСТ Р 53325-2012 [50]
Система передачи извещения о пожаре;— Совокупность совместно действующих технических средств, предназначенных для передачи по каналам связи и приема в пункте централизованного наблюдения извещений о пожаре на охраняемом объекте, служебных и контрольно-диагностических извещений, а также (при наличии обратного канала) для передачи и приема команд телеуправления. ст. 2 п. 37 ФЗ-123[1]
Система периодического контроля герметичности резервуара;— Комплекс оборудования, предназначенного для периодического определения персоналом АЗС герметичности резервуаров на месте эксплуатации. п. 3.36 СП 156.13130.2014[21]
Система подслойного тушения пожара в резервуаре;— Комплекс устройств, оборудования и фторсодержащего пленкообразующего пенообразователя, предназначенного для подслойного тушения пожара нефти и нефтепродуктов в резервуаре. п. 3.15 СП 155.13130.2014[20]
Система подслойного тушения пожара в результате;— Комплекс устройств, оборудования и фторсодержащего пленкообразующего пенообразователя, предназначенного для подслойного тушения пожара нефти и нефтепродуктов в резервуаре. п. 3.19 ГОСТ Р 53280.2-2010 [54]
Система пожарной автоматики;— Оборудование, объединенное соединительными линиями и работающее по заданному алгоритму с целью выполнения задач по обеспечению пожарной безопасности на объекте. п. 3.121 СП 5.13130.2009[7]
Система пожарной сигнализации;— Совокупность установок пожарной сигнализации, смонтированных на одном объекте и контролируемых с общего пожарного поста. ст. 2 п. 38 ФЗ-123[1]
Система постоянного контроля герметичности резервуара (межстенного пространства двустенного или двухоболочечного резервуара) и/или трубопровода (межстенного пространства двустенного трубопровода или трубопровода СПГ в футляре)  ;— Комплекс оборудования, предназначенного для раннего обнаружения разгерметизации резервуара (межстенного пространства двустенного или двухоболочечного резервуара) и/или трубопровода (межстенного пространства двустенного трубопровода или трубопровода СПГ в футляре) в автоматическом режиме на месте эксплуатации. п. 3.37 СП 156.13130.2014[21]
Система предотвращения переполнения резервуара ;— Комплекс оборудования, предназначенного для автоматической сигнализации персоналу АЗС о необходимости прекращения операции наполнения резервуара топливом по достижении номинального уровня его наполнения и автоматического прекращения сливо-наливной операции в случае достижения предельного уровня наполнения, указанных в документации на технологическую систему АЗС. п. 3.38 СП 156.13130.2014[21]
Система предотвращения пожара;— Комплекс организационных мероприятий и технических средств, исключающих возможность возникновения пожара на объекте защиты. ст. 2 п. 39 ФЗ-123[1]
Система предотвращения пожара;— Комплекс организационных мероприятий и технических средств, исключающих возможность возникновения пожара на объекте защиты. п. 2.26 СП 13.13130.2009[15]
Система предотвращения пожара;— Комплекс организационных мероприятий и технических средств, направленных на исключение условий возникновения пожара п. 40 ГОСТ 12.1.033-81 [87]
Система противодымной вентиляции вытяжная;— Автоматически и дистанционно управляемая вентиляционная система, предназначенная для удаления продуктов горения при пожаре через дымоприемное устройство наружу. п. 3.16 СП 7.13130.2013[9]
Система противодымной вентиляции приточная;— Автоматически и дистанционно управляемая вентиляционная система, предназначенная для предотвращения при пожаре задымления помещений зон безопасности, лестничных клеток, лифтовых шахт, тамбур-шлюзов посредством подачи наружного воздуха и создания в них избыточного давления, а также для ограничения распространения продуктов горения и возмещения объемов их удаления. п. 3.17 СП 7.13130.2013[9]
Система противодымной защиты;— Комплекс организационных мероприятий, объемно-планировочных решений, инженерных систем и технических средств, направленных на предотвращение или ограничение опасности задымления зданий и сооружений при пожаре, а также воздействия опасных факторов пожара на людей и материальные ценности. ст. 2 п. 40 ФЗ-123[1]
Система противодымной защиты;— Комплекс организационных мероприятий, объемно-планировочных решений, инженерных систем и технических средств, направленных на предотвращение или ограничение опасности задымления зданий, сооружений при пожаре, а также воздействия опасных факторов пожара на людей и материальные ценности. п. 2.20 СП 13.13130.2009[15]
Система противопожарной защиты;— Комплекс организационных мероприятий и технических средств, направленных на защиту людей и имущества от воздействия опасных факторов пожара и (или) ограничение последствий воздействия опасных факторов пожара на объект защиты (продукцию). ст. 2 п. 41 ФЗ-123[1]
Система противопожарной защиты ;— Комплекс организационных мероприятий и технических средств, направленных на защиту людей и имущества от воздействия опасных факторов пожара и (или) ограничение последствий воздействия опасных факторов пожара на объект защиты (продукцию). п. 2.21 СП 13.13130.2009[15]
Система противопожарной защиты;— Совокупность организационных мероприятий и технических средств, направленных на предотвращение воздействия на людей опасных факторов пожара и ограничение материального ущерба от него п. 19 ГОСТ 12.1.033-81 [87]
Система теплоизоляции;— Система из двух и более слоев, используемая для нанесения на стену и содержащая не менее одного слоя, предназначенного для повышения теплотехнических свойств стены. п. 3.4 ГОСТ 31251-2008 [62]
Системы (элементы) безопасности;— Системы (элементы), предназначенные для выполнения функций безопасности. п. 2.23 СП 13.13130.2009[15]
Системы (элементы) нормальной эксплуатации;— Системы (элементы), предназначенные для осуществления нормальной эксплуатации. п. 2.25 СП 13.13130.2009[15]
Системы (элементы), важные для безопасности;— Системы (элементы) безопасности, а также системы (элементы) нормальной эксплуатации, отказы которых нарушают нормальную эксплуатацию АС или препятствуют устранению отклонений от нормальной эксплуатации и могут приводить к проектным и запроектным авариям. п. 2.24 СП 13.13130.2009[15]
Системы внутреннего теплоснабжения здания;— Системы теплоснабжения отопления, водонагревателей, систем горячего водоснабжения, воздухонагревателей приточных установок, кондиционеров, воздушно-отопительных агрегатов, воздушно-тепловых завес и др. п. 3.32 СП 60.13330.2012[16]
Системы противодымной тоннельной вентиляции приточно-вытяжные;"— Автоматически и дистанционно управляемые вентиляционные системы, предназначенные для удаления продуктов горения непосредственно из транспортного отсека тоннеля при возникновении в нем пожара и компенсирующей подачи воздуха в этот отсек с ограничением распространения в нем продуктов горения. В зависимости от принудительного (управляемого) перемещения газовоздушных потоков в защищаемом транспортном отсеке тоннеля приточно-вытяжные системы противодымной тоннельной вентиляции проектируются в соответствии с одной из ниже приведенных схем:  - продольной схеме, при которой механически побуждаемая тяга вентиляторов вытяжных и приточных систем односторонне направлена по нормали к плоскостям проходных сечений транспортного отсека тоннеля (параллельно продольной оси этого отсека);  - поперечной схеме, при которой посредством механически побуждаемой тяги вентиляторов вытяжных и приточных систем осуществляется принудительное перемещение потоков, образующихся при пожаре продуктов горения и воздушных потоков в плоскостях проходных сечений транспортного отсека тоннеля (перпендикулярно продольной оси этого отсека);  - продольно-поперечной схеме, при которой посредством механически побуждаемой тяги вентиляторов вытяжных и приточных систем осуществляется принудительное перемещение потоков, образующихся при пожаре продуктов горения в плоскостях проходных сечений транспортного отсека тоннеля (перпендикулярно продольной оси этого отсека), а воздушных потоков - по нормали к тем же плоскостям (параллельно продольной оси того же отсека) п. 3.21 СП 7.13130.2013[9]"
Сканирование;— Управляемое по определенной программе цикличное движение пожарного ствола. п. 3.23 ГОСТ Р 53326-2009 [48]
Склады нефти и нефтепродуктов;"— Комплекс зданий, резервуаров и других сооружений, предназначенных для приема, хранения и выдачи нефти и нефтепродуктов. К складам нефти и нефтепродуктов относятся: предприятия по обеспечению нефтепродуктами (нефтебазы); резервуарные парки и наливные станции магистральных нефтепроводов и нефтепродуктопроводов; товарно-сырьевые парки центральных пунктов сбора нефтяных месторождений, нефтеперерабатывающих и нефтехимических предприятий; склады нефтепродуктов, входящие в состав промышленных, транспортных, энергетических, сельскохозяйственных, строительных и других предприятий и организаций (расходные склады). п. 3.16 СП 155.13130.2014[20]"
Склады нефти нефтепродуктов;— Комплекс зданий, резервуаров и других сооружений, предназначенных для приема, хранения и выдачи нефти и нефтепродуктов. п. 3.39 СП 4.13130.2013[6]
Скорость нарастания давления взрыва;— Производная давления взрыва при дефлаграционном горении (дефлаграции) на восходящем участке зависимости давления взрыва горючей смеси в замкнутом сосуде от времени. п. 3.37 ГОСТ 12.1.044-2018 [79]
Скрытый ороситель;— Ороситель для подвесных потолков и стеновых панелей, устанавливаемый заподлицо с подвесным потолком или стеной, скрытый термочувствительной декоративной крышкой. п. 3.1.8 ГОСТ Р 51043-2002 [34]
